timestamp,product_name,price_offered,inventory_level,budget_multiplier,purchased
2026-01-15 13:20:29,Bread,1.1,100,1.65,1
2026-01-15 13:20:31,Milk,1.5,100,0.86,0
2026-01-15 13:20:32,Milk,1.5,100,1.09,1
2026-01-15 13:20:33,Bread,1.1,99,0.65,0
2026-01-15 13:20:34,Bread,1.1,99,1.18,1
2026-01-15 13:20:37,Bread,1.1,98,0.61,0
2026-01-15 13:20:39,Meat,7.91,100,1.03,1
2026-01-15 13:20:40,Meat,7.91,99,0.92,0
2026-01-15 13:20:41,Milk,1.5,99,1.08,1
2026-01-15 13:20:43,Bread,1.1,98,0.81,0
2026-01-15 13:20:45,Bread,1.1,98,1.28,1
2026-01-15 13:20:47,Meat,7.91,99,0.97,0
2026-01-15 13:20:48,Bread,1.1,97,0.95,0
2026-01-15 13:20:49,Eggs,1.0,100,1.57,1
2026-01-15 13:20:50,Meat,7.91,99,1.06,1
2026-01-15 13:20:51,Cheese,6.5,100,1.06,1
2026-01-15 13:20:52,Cheese,6.5,99,0.71,0
2026-01-15 13:20:55,Eggs,1.0,99,0.93,0
2026-01-15 13:20:58,Eggs,1.0,99,0.85,0
2026-01-15 13:20:59,Cheese,6.5,99,0.93,0
2026-01-15 13:21:01,Meat,7.91,98,1.07,1
2026-01-15 13:21:02,Bread,0.87,97,0.82,1
2026-01-15 13:21:03,Meat,7.91,97,1.74,1
2026-01-15 13:21:04,Cheese,6.5,99,1.03,1
2026-01-15 13:21:05,Bread,0.87,96,0.84,1
2026-01-15 13:21:07,Meat,7.91,96,1.04,1
2026-01-15 13:21:09,Meat,7.91,95,0.71,0
2026-01-15 13:21:10,Bread,0.87,95,1.11,1
2026-01-15 13:21:11,Eggs,1.0,99,0.84,0
2026-01-15 13:21:12,Eggs,1.0,99,1.19,1
2026-01-15 13:21:13,Meat,9.73,95,1.01,0
2026-01-15 13:21:14,Eggs,1.0,98,1.23,1
2026-01-15 13:21:17,Meat,9.73,95,1.18,0
2026-01-15 13:21:20,Bread,0.87,94,1.15,1
2026-01-15 13:21:21,Bread,0.87,93,0.7,0
2026-01-15 13:21:22,Milk,1.5,98,1.36,1
2026-01-15 13:21:24,Bread,0.87,93,0.93,1
2026-01-15 13:21:27,Milk,1.5,97,0.86,0
2026-01-15 13:21:28,Milk,1.5,97,1.57,1
2026-01-15 13:21:30,Milk,1.26,96,1.39,1
2026-01-15 13:21:34,Bread,0.87,92,1.33,1
2026-01-15 13:21:35,Meat,9.73,95,0.87,0
2026-01-15 13:21:37,Bread,0.87,91,0.91,1
2026-01-15 13:21:38,Bread,0.87,90,1.24,1
2026-01-15 13:21:40,Meat,9.73,95,1.16,0
2026-01-15 13:21:41,Bread,0.87,89,1.16,1
2026-01-15 13:21:42,Meat,9.73,95,0.62,0
2026-01-15 13:21:43,Eggs,1.0,97,1.12,1
2026-01-15 13:21:44,Cheese,6.5,98,1.09,1
2026-01-15 13:21:45,Milk,1.26,95,1.0,1
2026-01-15 13:21:46,Eggs,1.0,96,1.23,1
2026-01-15 13:21:47,Meat,9.73,95,1.06,0
2026-01-15 13:21:51,Bread,0.87,88,1.35,1
2026-01-15 13:21:52,Meat,9.73,95,1.1,0
2026-01-15 13:21:53,Meat,9.73,95,0.48,0
2026-01-15 13:21:55,Bread,0.87,87,0.82,1
2026-01-15 13:21:56,Meat,9.73,95,1.09,0
2026-01-15 13:21:57,Eggs,1.0,95,1.07,1
2026-01-15 13:22:00,Bread,0.87,86,0.71,0
2026-01-15 13:22:02,Meat,9.73,95,1.08,0
2026-01-15 13:22:03,Bread,0.87,86,1.02,1
2026-01-15 13:22:05,Eggs,1.0,94,1.43,1
2026-01-15 13:22:07,Meat,9.73,95,0.79,0
2026-01-15 13:22:10,Bread,0.87,85,0.77,0
2026-01-15 13:22:11,Milk,1.26,94,0.79,0
2026-01-15 13:22:12,Milk,1.26,94,0.95,1
2026-01-15 13:22:13,Bread,0.87,85,1.16,1
2026-01-15 13:22:14,Milk,1.26,93,1.1,1
2026-01-15 13:22:15,Milk,1.26,92,0.48,0
2026-01-15 13:22:16,Milk,1.26,92,0.88,1
2026-01-15 13:22:18,Milk,1.26,91,1.33,1
